sys_id;ProductNumber;ProductName;ProductFamily;ProductPack;ProductMainColor;ProductSilhouette;ProductMetaDescription_en;ProductMetaTitle_en
102995;ALL01-4300;All I Want For Christmas Sock;SOCKS;SINGLE;4300;CREW;All you want for Christmas is a new pair of socks – and chances are high you get them from some estranged uncle or auntie who has no better gift idea.…;All I Want For Christmas Sock | Happy Socks
103062;APP01-9001-001;Apple Sock;SOCKS;SINGLE;9000;CREW;Do you love fruit? Or, more specifically apples? The Apple sock will be the style for you then, won’t it? Enjoy apples – many many delicious apples – bu…;Black Sock: Apple | Happy Socks
103111;ARC34-2500;Dressed Architecture Sock;SOCKS;SINGLE;2700;CREW;Throw out the rule book. Inspired by the neo-concrete art movement, the Dressed Architecture sock in orange and green has an intriguing geometric house …;Orange suit socks: Architecture - Dressed | Happy Socks
103121;ART34-2300;Dressed Art Sock;SOCKS;SINGLE;2200;CREW;But is it art? You decide. These Art socks are inspired by Marcel Duchamp’s Fountain sculpture, the piece that’s delighted, annoyed and confused art lov…;Yellow suit socks: Art - Dressed | Happy Socks
103284;ATANI27-0100;Athletic Animal Sock;SOCKS;SINGLE;1000;CREW;Cool cats and cat lovers alike will love these Athletic Animal socks. Featuring a bold leopard print with green, red and black detail, this eye-catching…;Green sport socks: Animal - ATHLETIC | Happy Socks
103510;ATCHS05-1300;Athletic Checked Stripe Low Sock;SOCKS;SINGLE;1000;LOW;Feeling all your personalities today? These Athletic Checked Stripe low socks are a joyful clash of vibrant patterns and colors – great for letting go a…;White low sport socks: Stripe - ATHLETIC | Happy Socks
104209;ATSTR13-9300;Rainbow Stripe 1/4 Crew Sock;SOCKS;SINGLE;9000;14 CREW;Get your color fix! The Athletic Rainbow Stripe 1/4 crew sock comes with a fun retro cuff and bubble writing. Full of confidence, it’s gonna boost your …;Rainbow Stripe Sport Sock, Black | Athletic | Happy Socks
104488;AXE01-8000-211;Axe Sock;SOCKS;SINGLE;8300;CREW;Everybody will watch out (in a good way) when you sharpen up your outfit with a fresh pair of Axe socks. The playful pattern is decorated with colorful ...;Brown socks: Axe pattern | Happy Socks
104510;BAB01-6500-400;Banana Bird Sock;SOCKS;SINGLE;6500;CREW;The hero you never knew you needed: Banana Bird sock. This strange flying fruit animal is not likely to save your life anytime soon, but it may just sav…;Blue Sock: Banana Bird | Happy Socks
